Nombre,Tipo,Tiempo de ejecución (ms)
12737139167400,12737139169500,2100
12737139170100,12737139172000,1900
12737139172600,12737139174700,2100
12737139175300,12737139177400,2100
12737139177900,12737139180000,2100
12737139180600,12737139182900,2300
12737139183400,12737139185500,2100
12737139186100,12737139188100,2000
12737139188700,12737139190700,2000
12737139191200,12737139193200,2000
12737139193700,12737139195800,2100
12737139196500,12737139200000,3500
12737139200700,12737139203000,2300
12737139203600,12737139205600,2000
12737139206200,12737139208000,1800
12737139208600,12737139210700,2100
12737139211400,12737139213500,2100
12737139214100,12737139216100,2000
12737139216700,12737139218700,2000
12737139219300,12737139221500,2200
12737139222100,12737139224000,1900
12737139224600,12737139269900,45300
12737139710600,12737139722700,12100
12737139724800,12737139728200,3400
12737139729100,12737139731400,2300
12737139732000,12737139734300,2300
12737139735000,12737139737500,2500
12737139738200,12737139740900,2700
12737139741600,12737139743800,2200
12737139744600,12737139752200,7600
12737139753100,12737139756000,2900
12737139756700,12737139759300,2600
12737139759900,12737139762300,2400
12737139763000,12737139765500,2500
12737139766200,12737139770100,3900
12737139770800,12737139773200,2400
12737139773800,12737139777400,3600
12737139778000,12737139780900,2900
12737139781400,12737139784100,2700
12737139784800,12737139787300,2500
12737139788000,12737139791700,3700
12737139792300,12737139794700,2400
12737139795400,12737139799200,3800
12737139799900,12737139802400,2500
12737139803100,12737139805400,2300
12737139806000,12737139810400,4400
12737139811000,12737139813600,2600
12737139814600,12737139817100,2500
12737139819000,12737139821400,2400
12737139822400,12737139824900,2500
12737139825500,12737139828000,2500
12737139828700,12737139831200,2500
12737139831800,12737139834200,2400
12737139834700,12737139838900,4200
12737139839600,12737139843100,3500
12737139843700,12737139846100,2400
12737139846700,12737139850600,3900
12737139851200,12737139855200,4000
12737139855700,12737139858200,2500
12737139858800,12737139861200,2400
12737139861800,12737139864300,2500
12737139864800,12737139868600,3800
12737139869500,12737139872000,2500
12737139872600,12737139876100,3500
12737139876700,12737139879300,2600
12737139880000,12737139883600,3600
12737139884200,12737139888300,4100
12737139888900,12737139893000,4100
12737139893600,12737139895800,2200
12737139896500,12737139899000,2500
12737139899700,12737139902100,2400
12737139902700,12737139905700,3000
12737139906200,12737139909300,3100
12737139909900,12737139912300,2400
12737139912900,12737139916000,3100
12737139916600,12737139920000,3400
12737139920500,12737139923000,2500
12737139923600,12737139926800,3200
12737139927500,12737139930000,2500
12737139930600,12737139933100,2500
12737139933800,12737139937200,3400
12737139937800,12737139940300,2500
12737139940900,12737139943400,2500
12737139944000,12737139948000,4000
12737139948600,12737139952200,3600
12737139952900,12737139956500,3600
12737139957100,12737139959200,2100
12737139959900,12737139962600,2700
12737139963200,12737139965600,2400
12737139966200,12737139968600,2400
12737139969200,12737139971800,2600
12737139972400,12737139975400,3000
12737139976000,12737139978900,2900
12737139979400,12737139981700,2300
12737139982300,12737139986400,4100
12737139986900,12737139989300,2400
12737139989800,12737139993100,3300
12737139993800,12737139996500,2700
12737139997000,12737139999600,2600
12737140000200,12737140002600,2400
12737140003200,12737140006900,3700
12737140007500,12737140009900,2400
12737140010500,12737140013800,3300
12737140014400,12737140016900,2500
12737140018700,12737140021300,2600
12737140021900,12737140025700,3800
12737140026400,12737140028800,2400
12737140029300,12737140031800,2500
12737140032500,12737140036300,3800
12737140036800,12737140039300,2500
12737140039800,12737140043400,3600
12737140044100,12737140046400,2300
12737140047000,12737140050000,3000
12737140050600,12737140053700,3100
12737140054300,12737140057100,2800
12737140057600,12737140060000,2400
12737140060700,12737140065000,4300
12737140065500,12737140069600,4100
12737140070200,12737140073300,3100
12737140073900,12737140076400,2500
12737140077000,12737140080800,3800
12737140081400,12737140083900,2500
12737140085600,12737140088400,2800
12737140089200,12737140091600,2400
12737140092300,12737140094900,2600
12737140095900,12737140098400,2500
12737140099100,12737140101600,2500
12737140102200,12737140106400,4200
12737140107000,12737140110100,3100
12737140110700,12737140113600,2900
12737140114100,12737140117600,3500
12737140118200,12737140120700,2500
12737140121300,12737140124900,3600
12737140125500,12737140127900,2400
12737140128600,12737140132500,3900
12737140133200,12737140135500,2300
12737140136100,12737140139600,3500
12737140140200,12737140142600,2400
12737140143200,12737140146900,3700
12737140147600,12737140150100,2500
12737140150700,12737140154600,3900
12737140155300,12737140157600,2300
12737140158200,12737140160900,2700
12737140161400,12737140163500,2100
12737140164100,12737140166600,2500
12737140167300,12737140170700,3400
12737140171400,12737140173700,2300
12737140174300,12737140177900,3600
12737140178500,12737140181100,2600
12737140181900,12737140184300,2400
12737140184900,12737140189400,4500
12737140190100,12737140193800,3700
12737140194400,12737140196800,2400
12737140197600,12737140199900,2300
12737140200600,12737140204200,3600
12737140204900,12737140207600,2700
12737140208200,12737140210700,2500
12737140211200,12737140214900,3700
12737140215500,12737140218000,2500
12737140219800,12737140222300,2500
12737140223000,12737140226700,3700
12737140227300,12737140229700,2400
12737140230300,12737140233800,3500
12737140234400,12737140237000,2600
12737140237700,12737140240100,2400
12737140240800,12737140244300,3500
12737140244900,12737140247300,2400
12737140247900,12737140251300,3400
12737140251900,12737140254600,2700
12737140255200,12737140257600,2400
12737140258200,12737140262200,4000
12737140262900,12737140265300,2400
12737140265900,12737140268900,3000
12737140269600,12737140271900,2300
12737140272600,12737140276300,3700
12737140276800,12737140279300,2500
12737140279900,12737140283300,3400
12737140284000,12737140287500,3500
12737140288100,12737140290600,2500
12737140291300,12737140293700,2400
12737140294300,12737140296600,2300
12737140297200,12737140299700,2500
12737140300300,12737140304000,3700
12737140304600,12737140307200,2600
12737140307800,12737140310200,2400
12737140310800,12737140314500,3700
12737140315100,12737140317500,2400
12737140318200,12737140321500,3300
12737140322100,12737140324700,2600
12737140325400,12737140327900,2500
12737140328500,12737140332400,3900
12737140332900,12737140337000,4100
12737140337600,12737140340200,2600
12737140340800,12737140343200,2400
12737140343900,12737140347200,3300
12737140347900,12737140352000,4100
12737140352500,12737140356600,4100
12737140357200,12737140360800,3600
12737140361400,12737140363800,2400
12737140364400,12737140366900,2500
12737140367500,12737140371500,4000
12737140372100,12737140374400,2300
12737140375100,12737140377400,2300
12737140378000,12737140381300,3300
12737140381900,12737140384400,2500
12737140385100,12737140388600,3500
12737140389300,12737140391700,2400
12737140392300,12737140396000,3700
12737140396600,12737140399000,2400
12737140399600,12737140403700,4100
12737140404300,12737140408000,3700
12737140408800,12737140411200,2400
12737140411800,12737140414300,2500
12737140414900,12737140418900,4000
12737140420700,12737140423400,2700
12737140424100,12737140428000,3900
12737140428600,12737140431100,2500
12737140431800,12737140435500,3700
12737140436100,12737140438600,2500
12737140439200,12737140441800,2600
12737140442500,12737140448700,6200
12737140449300,12737140451400,2100
12737140452000,12737140454000,2000
12737140454600,12737140456700,2100
12737140457300,12737140459500,2200
12737140460100,12737140462200,2100
12737140462700,12737140464800,2100
12737140465400,12737140467400,2000
12737140468000,12737140470100,2100
12737140470700,12737140472700,2000
12737140473300,12737140475300,2000
12737140476200,12737140478100,1900
12737140479000,12737140482100,3100
12737140482700,12737140484700,2000
12737140485300,12737140487200,1900
12737140487800,12737140489900,2100
12737140490500,12737140492400,1900
12737140492900,12737140495000,2100
12737140495600,12737140497500,1900
12737140498100,12737140499900,1800
12737140500500,12737140502700,2200
12737140503300,12737140505300,2000
12737140505900,12737140508100,2200
12737140508700,12737140510600,1900
12737140511200,12737140513100,1900
12737140513700,12737140515900,2200
12737140516500,12737140518600,2100
12737140519100,12737140521200,2100
12737140521800,12737140523700,1900
12737140524300,12737140526300,2000
12737140526900,12737140529100,2200
12737140529700,12737140533100,3400
12737140533700,12737140535800,2100
12737140536400,12737140570900,34500
12737140577500,12737140595100,17600
12737140596000,12737140598700,2700
12737140963600,12737140977600,14000
12737140981800,12737140984500,2700
12737140985400,12737140988100,2700
12737140988800,12737140991000,2200
12737140991600,12737140993800,2200
12737140994700,12737140996800,2100
12737140997300,12737140999500,2200
12737141000100,12737141005100,5000
12737141005600,12737141008700,3100
12737141009600,12737141012300,2700
12737141013000,12737141015500,2500
12737141016200,12737141020100,3900
12737141020700,12737141024600,3900
12737141025200,12737141030200,5000
12737141030900,12737141033500,2600
12737141034600,12737141037100,2500
12737141037700,12737141041700,4000
12737141042200,12737141044800,2600
12737141045400,12737141047900,2500
12737141048500,12737141051000,2500
12737141051600,12737141055200,3600
12737141055800,12737141058200,2400
12737141058800,12737141064000,5200
12737141064700,12737141067700,3000
12737141068400,12737141071000,2600
12737141071700,12737141074300,2600
12737141075100,12737141078800,3700
12737141079500,12737141082100,2600
12737141082700,12737141085200,2500
12737141085700,12737141089100,3400
12737141089700,12737141092200,2500
12737141092800,12737141096300,3500
12737141096900,12737141100700,3800
12737141101400,12737141105100,3700
12737141105900,12737141108300,2400
12737141109000,12737141111400,2400
12737141112000,12737141115600,3600
12737141116200,12737141119000,2800
12737141119500,12737141122300,2800
12737141123000,12737141125400,2400
12737141126100,12737141129500,3400
12737141130000,12737141132600,2600
12737141133100,12737141135700,2600
12737141136200,12737141140000,3800
12737141140800,12737141143300,2500
12737141144000,12737141146400,2400
12737141147000,12737141149500,2500
12737141150100,12737141153700,3600
12737141154200,12737141156700,2500
12737141157300,12737141160900,3600
12737141161500,12737141164000,2500
12737141165700,12737141168500,2800
12737141169000,12737141172700,3700
12737141173300,12737141175900,2600
12737141176500,12737141178900,2400
12737141179500,12737141181900,2400
12737141182500,12737141186300,3800
12737141187000,12737141190400,3400
12737141190900,12737141193700,2800
12737141194400,12737141196900,2500
12737141197500,12737141200000,2500
12737141200700,12737141204100,3400
12737141204700,12737141207200,2500
12737141207800,12737141211300,3500
12737141211900,12737141214300,2400
12737141214900,12737141217400,2500
12737141218100,12737141220700,2600
12737141221300,12737141225400,4100
12737141226000,12737141230200,4200
12737141230700,12737141234800,4100
12737141235500,12737141245000,9500
12737141245600,12737141247800,2200
12737141248500,12737141250600,2100
12737141251300,12737141253300,2000
12737141254000,12737141256200,2200
12737141256800,12737141258800,2000
12737141259400,12737141261500,2100
12737141262300,12737141264300,2000
12737141264900,12737141266800,1900
12737141267500,12737141269700,2200
12737141270200,12737141272500,2300
12737141273000,12737141274900,1900
12737141275500,12737141281800,6300
12737141282400,12737141285000,2600
12737141285600,12737141289100,3500
12737141289900,12737141292400,2500
12737141293100,12737141296200,3100
12737141297000,12737141300500,3500
12737141301300,12737141305800,4500
12737141306800,12737141311200,4400
12737141311900,12737141317000,5100
12737141317900,12737141321200,3300
12737141321900,12737141326700,4800
12737141327400,12737141331300,3900
12737141332200,12737141335500,3300
12737141336500,12737141340000,3500
12737141341000,12737141345600,4600
12737141346900,12737141350600,3700
12737141351400,12737141357300,5900
12737141360600,12737141367700,7100
12737141368400,12737141371300,2900
12737141372100,12737141374600,2500
12737141375200,12737141377500,2300
12737141378200,12737141381000,2800
12737141381800,12737141384400,2600
12737141385400,12737141388000,2600
12737141388900,12737141392600,3700
12737141396800,12737141400100,3300
12737141401000,12737141403800,2800
12737141404500,12737141407200,2700
12737141407800,12737141411100,3300
12737141411700,12737141414200,2500
12737141414800,12737141417500,2700
12737141418200,12737141421000,2800
12737141421700,12737141424100,2400
12737141424700,12737141428300,3600
12737141429100,12737141431600,2500
12737141432600,12737141435800,3200
12737141436600,12737141441100,4500
12737141441700,12737141444600,2900
12737141445300,12737141448700,3400
12737141449600,12737141455200,5600
12737141455900,12737141458700,2800
12737141459400,12737141462000,2600
12737141462700,12737141466900,4200
12737141467700,12737141472200,4500
12737141472800,12737141477400,4600
12737141478100,12737141482600,4500
12737141483200,12737141487500,4300
12737141488100,12737141490400,2300
12737141491000,12737141493500,2500
12737141494400,12737141497300,2900
12737141498000,12737141502500,4500
12737141503000,12737141505100,2100
12737141505700,12737141508600,2900
12737141509200,12737141512400,3200
12737141513000,12737141515900,2900
12737141516800,12737141519500,2700
12737141520100,12737141522500,2400
12737141523400,12737141527200,3800
12737141527800,12737141531900,4100
12737141532800,12737141537300,4500
12737141537900,12737141542600,4700
12737141543200,12737141545600,2400
12737141548200,12737141551100,2900
12737141552000,12737141554900,2900
12737141555500,12737141560600,5100
12737141561800,12737141564400,2600
12737141565300,12737141569900,4600
12737141570500,12737141574700,4200
12737141575300,12737141581300,6000
12737141582000,12737141586500,4500
12737141587100,12737141590900,3800
12737141591400,12737141594100,2700
12737141594900,12737141598800,3900
12737141599400,12737141601800,2400
12737141602500,12737141605000,2500
12737141605600,12737141608300,2700
12737141609100,12737141611600,2500
12737141612300,12737141615000,2700
12737141615900,12737141618600,2700
12737141619200,12737141622300,3100
12737141623000,12737141627000,4000
12737141628100,12737141630800,2700
12737141631400,12737141634100,2700
12737141634800,12737141638500,3700
12737141639200,12737141641500,2300
12737141642100,12737141644800,2700
12737141645400,12737141648300,2900
12737141649100,12737141653200,4100
12737141653900,12737141656900,3000
12737141657600,12737141662100,4500
12737141662900,12737141667200,4300
12737141667800,12737141670500,2700
12737141671100,12737141673700,2600
12737141675200,12737141678600,3400
12737141679700,12737141683600,3900
12737141684600,12737141687800,3200
12737141688600,12737141692300,3700
12737141692900,12737141695300,2400
12737141695900,12737141698500,2600
12737141700200,12737141703800,3600
12737141704500,12737141706900,2400
12737141707500,12737141710000,2500
12737141710600,12737141714300,3700
12737141715100,12737141717800,2700
12737141718400,12737141722500,4100
12737141723200,12737141727200,4000
12737141727900,12737141730500,2600
12737141731300,12737141738200,6900
12737141739100,12737141742400,3300
12737141742900,12737141745600,2700
12737141746500,12737141749100,2600
12737141749600,12737141754000,4400
12737141754700,12737141758900,4200
12737141759500,12737141762800,3300
12737141763400,12737141766400,3000
12737141767300,12737141769600,2300
12737141770300,12737141773800,3500
12737141774400,12737141778400,4000
12737141779000,12737141781500,2500
12737141782100,12737141784800,2700
12737141785600,12737141789700,4100
12737141790300,12737141794200,3900
12737141794800,12737141797600,2800
12737141798100,12737141800500,2400
12737141801200,12737141803900,2700
12737141804500,12737141807500,3000
12737141808200,12737141810600,2400
12737141811300,12737141815000,3700
12737141815900,12737141818700,2800
12737141819300,12737141822800,3500
12737141823600,12737141827200,3600
12737141827800,12737141831300,3500
12737141831900,12737141836200,4300
12737141836800,12737141841200,4400
12737141841900,12737141845200,3300
12737141845800,12737141848400,2600
12737141849000,12737141853300,4300
12737141853900,12737141858200,4300
12737141858800,12737141862900,4100
12737141863500,12737141867600,4100
12737141868400,12737141872500,4100
12737141873100,12737141877500,4400
12737141878300,12737141881400,3100
12737141882000,12737141885200,3200
12737141885800,12737141888200,2400
12737141888800,12737141891500,2700
12737141892000,12737141896000,4000
12737141896500,12737141900600,4100
12737141901100,12737141904000,2900
12737141904500,12737141907000,2500
12737141907500,12737141909600,2100
12737141910200,12737141914400,4200
12737141966300,12737141969600,3300
12737141970600,12737141973500,2900
12737141974100,12737141978200,4100
12737141978700,12737141981500,2800
12737141982200,12737141985900,3700
12737141986600,12737141989200,2600
12737141989800,12737141992100,2300
12737141992800,12737141997100,4300
12737141997700,12737142002000,4300
12737142002500,12737142006600,4100
12737142007200,12737142009700,2500
12737142010300,12737142012700,2400
12737142013600,12737142016400,2800
12737142017000,12737142019800,2800
12737142020400,12737142024600,4200
12737142025400,12737142029300,3900
12737142030000,12737142033100,3100
12737142033700,12737142038000,4300
12737142038500,12737142042400,3900
12737142043000,12737142047100,4100
12737142047600,12737142051200,3600
12737142051900,12737142054400,2500
12737142055000,12737142059100,4100
12737142059700,12737142063600,3900
12737142064200,12737142068100,3900
12737142068800,12737142072700,3900
12737142073300,12737142076000,2700
12737142076700,12737142079300,2600
12737142079900,12737142084100,4200
12737142084600,12737142088500,3900
12737142089000,12737142091600,2600
12737142092100,12737142096000,3900
12737142096600,12737142100400,3800
12737142101000,12737142104400,3400
12737142105100,12737142107600,2500
12737142108300,12737142110800,2500
12737142111500,12737142115500,4000
12737142116100,12737142120100,4000
12737142120700,12737142124900,4200
12737142125400,12737142127900,2500
12737142128600,12737142131100,2500
12737142131700,12737142134100,2400
12737142134700,12737142138100,3400
12737142138700,12737142141200,2500
12737142141900,12737142146200,4300
12737142146800,12737142149100,2300
12737142149700,12737142152000,2300
12737142152700,12737142155100,2400
12737142155600,12737142159500,3900
12737142160200,12737142164500,4300
12737142165100,12737142167400,2300
12737142167900,12737142170300,2400
12737142170900,12737142173300,2400
12737142174000,12737142178000,4000
12737142178600,12737142182500,3900
12737142183100,12737142185800,2700
12737142186400,12737142190300,3900
12737142190900,12737142194700,3800
12737142195300,12737142199000,3700
12737142199600,12737142202000,2400
12737142202600,12737142206200,3600
12737142206800,12737142210400,3600
12737142211000,12737142213400,2400
